City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Svetlogorsk,BY,52.63,29.73,64.81,90,0,4.65,clear sky,0.0,0
1,Owando,CG,-0.48,15.9,69.71,90,33,2.98,scattered clouds,0.0,0
2,Khatanga,RU,71.97,102.5,50.81,65,93,15.37,overcast clouds,0.0,0
3,Kapaa,US,22.08,-159.32,82.4,65,1,12.75,clear sky,0.0,0
4,Shahgarh,IN,24.32,79.13,79.21,83,100,7.56,overcast clouds,0.0,0
5,Avarua,CK,-21.21,-159.78,73.4,78,97,14.99,overcast clouds,0.0,0
6,Dikson,RU,73.51,80.55,50.5,63,11,15.1,few clouds,0.0,0
7,Sorland,NO,67.67,12.69,49.17,81,100,12.64,overcast clouds,0.0,0
8,Coquimbo,CL,-29.95,-71.34,53.6,87,93,3.36,overcast clouds,0.0,0
9,Sechura,PE,-5.56,-80.82,65.84,77,100,13.38,overcast clouds,0.0,0
10,Kodiak,US,57.79,-152.41,53.6,93,90,3.36,moderate rain,1.78,0
11,Lata,PT,40.16,-8.33,64.99,87,0,1.39,clear sky,0.0,0
12,Isangel,VU,-19.55,169.27,73.4,78,90,11.92,overcast clouds,0.0,0
13,Camacha,PT,33.08,-16.33,68.0,82,40,11.41,scattered clouds,0.0,0
14,Mataura,NZ,-46.19,168.86,44.31,89,83,8.19,light rain,0.25,0
15,Tasiilaq,GL,65.61,-37.64,37.4,93,2,6.93,clear sky,0.0,0
16,Nilopolis,BR,-22.81,-43.41,73.4,83,6,5.82,clear sky,0.0,0
17,Tonantins,BR,-2.87,-67.8,72.77,97,100,2.86,light rain,0.11,0
18,New Norfolk,AU,-42.78,147.06,50.0,77,0,1.01,clear sky,0.0,0
19,Ponta Do Sol,PT,32.67,-17.1,69.8,77,20,3.22,few clouds,0.0,0
20,Lorengau,PG,-2.02,147.27,85.3,72,40,12.03,scattered clouds,0.0,0
21,Hobyo,SO,5.35,48.53,77.99,75,100,15.28,overcast clouds,0.0,0
22,Busselton,AU,-33.65,115.33,55.0,88,100,4.0,light rain,0.11,0
23,Lompoc,US,34.64,-120.46,59.0,77,0,13.87,clear sky,0.0,0
24,Constitucion,CL,-35.33,-72.42,48.99,72,98,2.77,overcast clouds,0.0,0
25,Barrow,US,71.29,-156.79,37.4,86,75,17.22,broken clouds,0.0,0
26,Rikitea,PF,-23.12,-134.97,73.44,83,98,12.66,overcast clouds,0.0,0
27,Zhigansk,RU,66.77,123.37,49.12,73,100,9.98,overcast clouds,0.0,0
28,Bredasdorp,ZA,-34.53,20.04,55.4,76,52,9.17,broken clouds,0.0,0
29,Saskylakh,RU,71.92,114.08,57.97,51,27,12.35,scattered clouds,0.0,0
30,Arlit,NE,18.74,7.39,88.38,12,0,6.89,clear sky,0.0,0
31,Paita,PE,-5.09,-81.11,64.22,84,100,12.12,overcast clouds,0.0,0
32,Tuktoyaktuk,CA,69.45,-133.04,41.0,93,75,8.05,broken clouds,0.0,0
33,Surab,PK,28.49,66.26,76.35,48,50,5.64,scattered clouds,0.0,0
34,Clyde River,CA,70.47,-68.59,39.2,93,90,5.82,overcast clouds,0.0,0
35,Punta Arenas,CL,-53.15,-70.92,26.6,92,13,2.24,few clouds,0.0,0
36,Ljungby,SE,56.83,13.94,51.8,93,19,9.17,few clouds,0.0,0
37,Kavaratti,IN,10.57,72.64,83.86,77,100,18.61,light rain,0.3,0
38,Paracuru,BR,-3.41,-39.03,71.01,84,33,1.01,scattered clouds,0.0,0
39,Atuona,PF,-9.8,-139.03,79.97,71,4,11.9,clear sky,0.0,0
40,Khani,GE,41.96,42.96,82.4,32,0,17.22,clear sky,0.0,0
41,Nelson Bay,AU,-32.72,152.15,64.4,45,20,6.93,few clouds,0.0,0
42,Albany,US,42.6,-73.97,70.0,58,0,5.28,clear sky,0.0,0
43,Myitkyina,MM,25.38,97.4,81.23,91,97,1.79,moderate rain,1.07,0
44,Hermanus,ZA,-34.42,19.23,57.0,72,81,1.99,broken clouds,0.0,0
45,Bambous Virieux,MU,-20.34,57.76,73.4,94,75,9.17,light intensity shower rain,0.0,0
46,Puerto Ayora,EC,-0.74,-90.35,69.01,93,100,4.0,overcast clouds,0.0,0
47,Neepawa,CA,50.23,-99.47,68.0,82,75,5.82,broken clouds,0.0,0
48,Kunming,CN,25.04,102.72,77.0,83,75,13.42,broken clouds,0.0,0
49,Hobart,AU,-42.88,147.33,50.0,61,75,8.05,broken clouds,0.0,0
50,Torbay,CA,47.67,-52.73,50.0,87,90,4.7,overcast clouds,0.0,0
51,Hun,LY,29.13,15.95,67.08,79,0,3.94,clear sky,0.0,0
52,San Patricio,MX,19.22,-104.7,81.25,83,99,5.06,overcast clouds,0.0,0
53,Sanchursk,RU,56.94,47.25,70.36,86,0,4.21,clear sky,0.0,0
54,Kinablangan,PH,7.69,126.55,84.04,70,100,4.41,light rain,0.47,0
55,Jamestown,US,42.1,-79.24,73.4,73,1,4.7,clear sky,0.0,0
56,Fairbanks,US,64.84,-147.72,73.99,46,90,6.67,overcast clouds,0.0,0
57,Santa Rosa,PH,14.31,121.11,93.0,63,65,5.01,broken clouds,0.0,0
58,Hilo,US,19.73,-155.09,80.6,65,90,8.05,overcast clouds,0.0,0
59,Svay Rieng,KH,11.09,105.8,86.18,66,12,8.05,few clouds,0.0,0
60,Okha,RU,53.57,142.95,49.71,97,100,11.99,light rain,0.34,0
