City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Svetlogorsk,BY,64.81,clear sky,52.63,29.73,Hotel Svetlogorsk JBIK
1,Owando,CG,69.71,scattered clouds,-0.48,15.9,Exaunel Hotel Owando
5,Avarua,CK,73.4,overcast clouds,-21.21,-159.78,Paradise Inn
9,Sechura,PE,65.84,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
11,Lata,PT,64.99,clear sky,40.16,-8.33,Casa Maquia
12,Isangel,VU,73.4,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
13,Camacha,PT,68.0,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
16,Nilopolis,BR,73.4,clear sky,-22.81,-43.41,Hotel Premier
19,Ponta Do Sol,PT,69.8,few clouds,32.67,-17.1,Hotel do Campo
23,Lompoc,US,59.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
26,Rikitea,PF,73.44,overcast clouds,-23.12,-134.97,Pension Maro'i
28,Bredasdorp,ZA,55.4,broken clouds,-34.53,20.04,Bredasdorp Country Manor
29,Saskylakh,RU,57.97,scattered clouds,71.92,114.08,
31,Paita,PE,64.22,overcast clouds,-5.09,-81.11,Hotel Náutico de Paita
38,Paracuru,BR,71.01,scattered clouds,-3.41,-39.03,Hotel Vento Brasil
41,Nelson Bay,AU,64.4,few clouds,-32.72,152.15,Mantra Nelson Bay
42,Albany,US,70.0,clear sky,42.6,-73.97,
44,Hermanus,ZA,57.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
45,Bambous Virieux,MU,73.4,light intensity shower rain,-20.34,57.76,Casa Tia Villa
46,Puerto Ayora,EC,69.01,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
47,Neepawa,CA,68.0,broken clouds,50.23,-99.47,"Westway Inn Motel, Neepawa"
51,Hun,LY,67.08,clear sky,29.13,15.95,Alrwasi Hotel
53,Sanchursk,RU,70.36,clear sky,56.94,47.25,
55,Jamestown,US,73.4,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
56,Fairbanks,US,73.99,overcast clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
61,Port Alfred,ZA,63.0,scattered clouds,-33.59,26.89,The Halyards Hotel
64,Sao Filipe,CV,73.72,broken clouds,14.9,-24.5,Tortuga B&B
70,Galeana,MX,67.41,few clouds,24.83,-100.07,Albergue Rural Juvenil Galeana
72,Mahebourg,MU,73.4,light intensity shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
74,Bethel,US,69.01,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
76,Kindu,CD,69.26,overcast clouds,-2.95,25.95,Hotel Karibu
79,Nyurba,RU,66.33,clear sky,63.28,118.33,Gostinitsa Alrosa
81,Conde,BR,70.18,clear sky,-7.26,-34.91,Pousada Beija Flor
83,Boda,CF,69.03,overcast clouds,4.32,17.47,
87,La Ronge,CA,66.2,few clouds,55.1,-105.28,Northland Motor Hotel
88,Nampula,MZ,62.6,scattered clouds,-15.12,39.27,Tacab Residencial
89,Severo-Kurilsk,RU,56.62,few clouds,50.68,156.12,Kak Doma
90,Okhotsk,RU,56.53,overcast clouds,59.38,143.3,
93,Kyshtovka,RU,65.01,overcast clouds,56.55,76.63,Uyutnaya Mini-Hotel
94,Vanavara,RU,73.17,broken clouds,60.34,102.28,Church of Churches
97,Yar-Sale,RU,74.59,scattered clouds,66.83,70.83,Yalemd
99,Talnakh,RU,66.2,overcast clouds,69.49,88.4,Talnakh Hotel
100,Thompson,CA,62.6,few clouds,55.74,-97.86,Burntwood Hotel
101,Myski,RU,64.17,broken clouds,53.71,87.8,"Mras-Su, Sport Recreation complex"
102,Coffs Harbour,AU,66.99,clear sky,-30.3,153.13,Aquajet Motel
105,Salamiyah,SY,70.36,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
106,Svetlyy,RU,57.2,overcast clouds,54.67,20.13,"Hostel ""Baltiysky Les"""
107,Alta Floresta,BR,70.03,clear sky,-9.88,-56.09,Floresta Amazonica Hotel
112,Yellowknife,CA,62.6,scattered clouds,62.46,-114.35,The Explorer Hotel
116,Barra Do Garcas,BR,68.02,clear sky,-15.89,-52.26,Hotel Pousada Tropical
118,Vila Velha,BR,68.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
120,Jumla,NP,69.1,overcast clouds,29.27,82.18,Hotel Sundar Rara Karnali
121,Cape Town,ZA,57.0,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
122,Victoria Point,AU,73.0,broken clouds,-27.58,153.3,Bay Retreat Motel
125,Port Elizabeth,ZA,60.8,scattered clouds,-33.92,25.57,39 On Nile Guest House
127,Cherskiy,RU,65.98,scattered clouds,68.75,161.3,Gostinitsa
128,East London,ZA,59.0,scattered clouds,-33.02,27.91,Tu Casa
131,Broome,US,69.8,clear sky,42.25,-75.83,Chenango Valley State Park
134,Saravan,AM,71.6,clear sky,39.72,45.65,
136,Alice Springs,AU,57.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
141,Nikolskoye,RU,61.0,broken clouds,59.7,30.79,Tourist House - Sablino
145,Yulara,AU,59.0,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
147,Namibe,AO,67.35,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
148,Esperance,AU,55.4,clear sky,-33.87,121.9,Hospitality Esperance
153,Polaniec,PL,61.0,overcast clouds,50.43,21.28,Hostel dla uzależnionych od alkoholu
156,Rio Claro,BR,55.4,few clouds,-22.41,-47.56,Hotel Vivendas Rio Claro
158,Sobolevo,RU,64.0,clear sky,54.43,31.9,
163,Saint-Philippe,RE,71.6,mist,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
170,Sitka,US,57.2,broken clouds,57.05,-135.33,Westmark Sitka
171,El Rusio,HN,67.42,overcast clouds,14.47,-86.37,
172,Arraial Do Cabo,BR,71.76,clear sky,-22.97,-42.03,Pousada Porto Praia
173,Freeport,US,73.0,broken clouds,40.66,-73.58,The Freeport Inn and Marinad
178,Atbasar,KZ,69.12,few clouds,51.8,68.33,"The Ritz-Carlton, Astana"
179,Westport,US,70.0,overcast clouds,41.14,-73.36,The Westport Inn
181,Manitouwadge,CA,61.48,overcast clouds,49.12,-85.84,Select Inn
182,Kalemie,CD,68.56,scattered clouds,-5.95,29.19,Mahobilali
185,Los Llanos De Aridane,ES,71.6,clear sky,28.66,-17.92,Valle Aridane
186,Ribeira Grande,PT,68.22,clear sky,38.52,-28.7,Quinta da Meia Eira
187,Grand Gaube,MU,73.0,overcast clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
189,Flin Flon,CA,64.09,scattered clouds,54.77,-101.86,Victoria Inn Flin Flon
191,Port Augusta,AU,55.99,clear sky,-32.5,137.77,Majestic Oasis Apartments
193,Kosh-Agach,RU,56.57,broken clouds,50.0,88.67,Fermerskiy Dom v Kosh-Agache
194,Ingham,US,75.0,clear sky,42.6,-84.38,Sunset Place
197,Fortuna,US,59.0,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
198,Kondinskoye,RU,73.49,broken clouds,59.65,67.41,
207,Bemidji,US,68.0,clear sky,47.47,-94.88,Hampton Inn & Suites Bemidji
210,Pacific Grove,US,60.8,scattered clouds,36.62,-121.92,Lovers Point Inn
214,Noyabrsk,RU,68.9,overcast clouds,63.2,75.45,Hotel Uyutnaya
217,Blagoyevo,RU,68.88,clear sky,63.37,47.92,
219,Mocuba,MZ,59.2,overcast clouds,-16.84,36.99,Phama Lodge
222,Aleksandrovskiy Zavod,RU,73.18,scattered clouds,50.92,117.94,Druzhba
226,Hay River,CA,64.4,broken clouds,60.82,-115.8,Ptarmigan Inn Hotels
233,Carnarvon,AU,69.8,broken clouds,-24.87,113.63,Hospitality Carnarvon
236,Souillac,MU,73.4,light intensity shower rain,-20.52,57.52,Bils' Villa
240,Norman Wells,CA,55.4,broken clouds,65.28,-126.83,Heritage Hotel
245,Eureka,US,59.0,few clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
247,Sioux Lookout,CA,71.6,few clouds,50.1,-91.92,Knobby's Fly-In Camps
248,Nouadhibou,MR,71.6,clear sky,20.93,-17.03,El Medina
249,Arman,RU,61.12,broken clouds,59.7,150.17,
252,Fergus Falls,US,73.4,clear sky,46.28,-96.08,AmericInn by Wyndham Fergus Falls Conference Center
253,Shirokiy,RU,64.96,overcast clouds,49.76,129.52,
255,Portland,US,64.99,overcast clouds,45.52,-122.68,Portland Marriott City Center
257,Lillooet,CA,73.4,few clouds,50.69,-121.94,Hotel Victoria
259,Praia Da Vitoria,PT,68.0,scattered clouds,38.73,-27.07,Hotel Branco I
260,Geraldton,AU,62.6,clear sky,-28.77,114.6,Broadwater Mariner Resort
262,Quepos,CR,69.8,few clouds,9.42,-84.17,Jungle Beach Hotel at Manuel Antonio
263,Romny,UA,67.87,clear sky,50.75,33.47,Floriana
264,Rimbey,CA,64.4,scattered clouds,52.63,-114.24,Rimbey Ridge Hotel & Suites
268,Muros,ES,63.0,clear sky,42.78,-9.06,Apartment Av. Castelao
269,Riachao Do Jacuipe,BR,62.62,clear sky,-11.81,-39.39,Riachão Palace Hotel
270,Ust-Kalmanka,RU,65.71,overcast clouds,52.12,83.31,
271,Spring Hill,US,75.0,clear sky,28.48,-82.53,Room of The world By traveline Plus
276,Lagoa,PT,67.37,clear sky,39.05,-27.98,Casa Das Faias
277,Avera,US,73.4,heavy intensity rain,33.19,-82.53,
279,Novoagansk,RU,68.09,overcast clouds,61.94,76.66,
286,Saint-Augustin,CA,58.01,broken clouds,51.23,-58.65,
