City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2020-07-02 03:26:19,-53.15,-70.92,33.8,95,18,8.05
1,East London,ZA,2020-07-02 03:26:43,-33.02,27.91,51.8,57,34,6.93
2,Uyemskiy,RU,2020-07-02 03:35:26,64.47,40.85,59.0,93,75,4.47
3,Georgetown,MY,2020-07-02 03:35:27,5.41,100.34,87.8,70,20,8.05
4,Kendari,ID,2020-07-02 03:35:27,-3.94,122.5,83.43,62,51,5.88
5,Munsingen,DE,2020-07-02 03:35:27,48.41,9.5,61.0,98,69,1.01
6,Avarua,CK,2020-07-02 03:26:43,-21.21,-159.78,78.8,78,0,10.29
7,Benguela,AO,2020-07-02 03:35:27,-12.58,13.41,64.85,85,2,1.59
8,Rikitea,PF,2020-07-02 03:26:19,-23.12,-134.97,69.4,69,0,22.17
9,Tateyama,JP,2020-07-02 03:35:27,34.98,139.87,86.0,69,40,18.34
10,Kushmurun,KZ,2020-07-02 03:35:27,52.45,64.63,56.97,69,73,14.29
11,Toamasina,MG,2020-07-02 03:35:27,-18.17,49.38,69.73,87,96,12.41
12,Olinda,BR,2020-07-02 03:35:27,-8.01,-34.86,75.2,88,20,2.24
13,Kapaa,US,2020-07-02 03:26:28,22.08,-159.32,84.2,66,1,12.75
14,Yellowknife,CA,2020-07-02 03:26:29,62.46,-114.35,62.6,82,75,23.04
15,Yar-Sale,RU,2020-07-02 03:26:30,66.83,70.83,60.03,47,0,6.04
16,Ushuaia,AR,2020-07-02 03:26:22,-54.8,-68.3,26.6,100,52,3.36
17,Mataura,NZ,2020-07-02 03:26:23,-46.19,168.86,46.72,76,3,1.88
18,Columbus,US,2020-07-02 03:35:28,39.96,-83.0,77.0,64,1,6.93
19,Hithadhoo,MV,2020-07-02 03:26:27,-0.6,73.08,83.8,65,87,2.91
20,Sulangan,PH,2020-07-02 03:27:10,11.14,123.72,84.38,71,98,4.59
21,Remuna,IN,2020-07-02 03:35:16,21.53,86.87,92.53,59,43,6.78
22,Dikson,RU,2020-07-02 03:26:38,73.51,80.55,40.1,97,100,17.0
23,Normandin,CA,2020-07-02 03:35:28,48.83,-72.53,73.4,56,20,8.05
24,Hervey Bay,AU,2020-07-02 03:34:27,-25.3,152.85,75.0,53,75,6.93
25,Leh,IN,2020-07-02 03:35:29,34.17,77.58,60.76,32,0,5.97
26,Kavieng,PG,2020-07-02 03:23:04,-2.57,150.8,85.35,66,40,8.3
27,Vaini,TO,2020-07-02 03:26:35,-21.2,-175.2,73.4,73,75,8.05
28,Sorong,ID,2020-07-02 03:26:48,-0.88,131.25,84.04,70,97,6.6
29,Aykhal,RU,2020-07-02 03:35:29,66.0,111.5,69.8,32,40,8.95
30,Chiredzi,ZW,2020-07-02 03:35:29,-21.05,31.67,52.57,93,0,0.81
31,Lebu,CL,2020-07-02 03:26:22,-37.62,-73.65,49.28,90,75,2.33
32,Cape Town,ZA,2020-07-02 03:24:53,-33.93,18.42,51.01,93,20,9.17
33,Cayenne,GF,2020-07-02 03:26:03,4.93,-52.33,77.0,100,100,2.24
34,Saint-Pierre,RE,2020-07-02 03:27:13,-21.34,55.48,66.2,88,90,5.82
35,Awbari,LY,2020-07-02 03:27:10,26.59,12.78,76.24,19,0,6.22
36,Clyde River,CA,2020-07-02 03:26:29,70.47,-68.59,39.2,86,90,5.82
37,Codrington,AU,2020-07-02 03:27:14,-38.27,141.97,51.21,76,94,15.46
38,Tezu,IN,2020-07-02 03:35:30,27.92,96.17,78.94,81,93,1.68
39,Bang Saphan,TH,2020-07-02 03:35:30,11.21,99.51,86.0,79,75,8.05
40,New Norfolk,AU,2020-07-02 03:26:19,-42.78,147.06,55.0,77,64,5.99
41,Port Blair,IN,2020-07-02 03:24:08,11.67,92.75,84.31,76,100,14.45
42,Atuona,PF,2020-07-02 03:26:26,-9.8,-139.03,80.38,78,26,21.07
43,Bilibino,RU,2020-07-02 03:35:30,68.05,166.44,42.13,83,100,10.22
44,Vytegra,RU,2020-07-02 03:35:30,61.01,36.45,56.75,90,94,10.04
45,Albany,US,2020-07-02 03:23:25,42.6,-73.97,66.0,88,40,3.6
46,Kruisfontein,ZA,2020-07-02 03:26:26,-34.0,24.73,49.01,65,0,3.02
47,Isangel,VU,2020-07-02 03:35:31,-19.55,169.27,75.2,57,75,9.17
48,Bereda,ES,2020-07-02 03:35:31,43.27,-7.54,55.0,97,94,5.01
49,Birjand,IR,2020-07-02 03:31:16,32.87,59.22,77.0,16,0,11.41
50,Provideniya,RU,2020-07-02 03:26:53,64.38,-173.3,46.4,87,90,17.9
51,Killybegs,IE,2020-07-02 03:26:43,54.63,-8.45,39.99,94,0,9.48
52,Busselton,AU,2020-07-02 03:26:28,-33.65,115.33,60.01,60,32,2.73
53,Westport,US,2020-07-02 03:23:59,41.14,-73.36,69.8,83,75,3.42
54,Izumo,JP,2020-07-02 03:35:31,35.37,132.77,73.4,78,75,4.7
55,Hilo,US,2020-07-02 03:26:27,19.73,-155.09,84.2,54,1,10.29
56,Lagoa,PT,2020-07-02 03:26:33,39.05,-27.98,64.31,66,29,3.87
57,Jamestown,US,2020-07-02 03:24:25,42.1,-79.24,69.8,77,1,6.93
58,Mutare,ZW,2020-07-02 03:35:32,-18.97,32.67,51.48,93,66,1.5
59,Saskylakh,RU,2020-07-02 03:26:25,71.92,114.08,61.41,64,100,21.39
60,Ribeira Grande,PT,2020-07-02 03:26:22,38.52,-28.7,64.85,72,10,6.22
61,Port Alfred,ZA,2020-07-02 03:26:19,-33.59,26.89,57.99,62,0,1.99
62,Mahebourg,MU,2020-07-02 03:26:52,-20.41,57.7,71.6,73,75,14.99
63,Kupang,ID,2020-07-02 03:35:32,-10.17,123.58,87.8,40,20,17.22
64,Mar Del Plata,AR,2020-07-02 03:26:53,-38.0,-57.56,45.0,93,75,5.82
